YEAR	SOURCE	RECEIVER	LN_TRADE
1984	DEU	DZA	21.3233678343893
1985	DZA	DEU	21.5303417677945
1985	DEU	DZA	21.2949812270147
1986	DZA	DEU	21.0319315085926
1986	DEU	DZA	21.1957604621469
1987	DZA	DEU	21.1897580909089
1987	DEU	DZA	20.8352778644792
1988	DZA	DEU	21.0154561705203
1988	DEU	DZA	21.0785563576779
1989	DZA	DEU	20.8003035785759
1989	DEU	DZA	20.9317711168212
1990	DZA	DEU	20.9980433184078
1990	DEU	DZA	21.0431611553559
1991	DZA	DEU	21.0786208556423
1991	DEU	DZA	20.6710550427537
1992	DZA	DEU	21.3811234561267
1992	DEU	DZA	20.6432372470235
1993	DZA	DEU	21.2385001430764
1993	DEU	DZA	20.1415802678787
1994	DZA	DEU	20.9189208409456
1994	DEU	DZA	20.2137909006385
1995	DZA	DEU	20.798589413811
1995	DEU	DZA	20.5406081040075
1996	DZA	DEU	20.8277760188171
1996	DEU	DZA	20.300722569614
1997	DZA	DEU	20.5263567322609
1997	DEU	DZA	20.0649581164015
1998	DZA	DEU	20.3983938621292
1998	DEU	DZA	20.3397373176739
1999	DZA	DEU	20.3781487057405
1999	DEU	DZA	20.3686432614125
2000	DZA	DEU	21.1985514923234
2000	DEU	DZA	20.3801121432199
1981	DZA	GRC	15.7006409997162
1981	GRC	DZA	18.5503641524451
1982	DZA	GRC	18.9935215000957
1982	GRC	DZA	18.674558256027
1983	DZA	GRC	18.5603390232281
1983	GRC	DZA	19.0142590537827
1984	DZA	GRC	20.0336977967681
1984	GRC	DZA	18.9625968763699
