date	c1	c2	c1_ctxt_l	c1_ctxt_r	c2_ctxt_l	c2_ctxt_r
20030321	PRK	USA		accuses	accuses	of,preparing,to,strike
20030321	IRQ	USA	officer,says	soldiers,have,surrendered,to	soldiers,have,surrendered,to	
20030321	KWT	USA	helicopter,crash,in		sixteen,killed,in	helicopter,crash,in
20030321	IRQ	USA	helicopter,down,in	operation	third	helicopter,down,in
20030321	IRQ	USA	forces,take	port		forces,take
20030321	IRQ	USA	marines,halted,by	fire		marines,halted,by
20030321	IRQ	USA	moves,to,expel	diplomats		moves,to,expel
20030321	IRQ	USA	orders,last	diplomats,out		orders,last
20030321	PRK	USA	planning,on,attacking,nuke,sites			planning,on,attacking,nuke,sites
20030321	IRQ	USA	says	sailing,without,a,rudder		says
20030321	IRQ	USA	uk,say,oil,fires,in,southern	of,unknown		uk,say,oil,fires,in,southern
20030321	IRQ	USA	you,didnt,get,saddam	tells	tells	
20030322	CHN	LKA	18,killed,as	trawler,sunk,off	trawler,sunk,off	
20030322	AUS	IRQ		forces,holding	forces,holding	pows
20030322	AUS	IRQ		sas,destroys	sas,destroys	command,centre
20030322	AUS	IRQ		sas,kill	sas,kill	forces
20030322	DEU	TUR		may,quit,nato,force,shielding	may,quit,nato,force,shielding	
20030322	IRQ	USA		division,head,surrenders,to	division,head,surrenders,to	forces
20030322	IRQ	KEN	wont,expel	diplomats		wont,expel
20030322	TUR	USA		opens,air,space,for	opens,air,space,for	
20030322	TUR	USA				agree,overflights,wrangle,over,troops
20030322	IRQ	TUR	ambassador,defends,push,into			ambassador,defends,push,into
20030322	IRQ	TUR	troops,in,northern	papers,say		troops,in,northern
20030322	IRQ	TUR	troops,to,enter,n			troops,to,enter,n
20030322	IRQ	TUR	troops,move,into,north			troops,move,into,north
20030322	IRQ	KWT	twelfth	missile,fired,at	missile,fired,at	crosses,over
20030322	IRQ	USA	air,assault,division,crosses,into			air,assault,division,crosses,into
20030322	IRQ	USA	captures,key	offshore,oil,terminals		captures,key
20030322	TUR	USA	desperate,for	air,deal		desperate,for
20030322	IRQ	USA	icon,has,a,small,flutter,in,vital	port		icon,has,a,small,flutter,in,vital
20030322	IRQ	USA		in,surrender,talks,pentagon,claims		
20030322	IRQ	USA	marines,secure,western	flank		marines,secure,western
20030322	IRQ	USA	special,forces,control,airfield,in,western			special,forces,control,airfield,in,western
20030322	IRQ	USA	still,hopeful,of,early	surrender		still,hopeful,of,early
20030322	IRQ	USA	strikes,militant,stronghold,in,nth	kurds		strikes,militant,stronghold,in,nth
20030323	AUS	IRQ	abc,cameraman	first,casualty,in	first,casualty,in	
20030323	AUS	IRQ		troops,in	troops,in	win,admiration,of,allies,howard
20030323	GBR	USA		fighter,downed,by	fighter,downed,by	anti,missile,rocket
20030323	GBR	USA		plane,downed,by,patriot,missile	plane,downed,by,patriot,missile	military
20030323	AUS	IRQ	assets,in		commonwealth,may,seize	assets,in
20030323	IRQ	TUR	troops,in		concern,grows,over	troops,in
20030323	IRQ	USA	soldiers,reported,wounded,in,central		four	soldiers,reported,wounded,in,central
20030323	IDN	IRQ	link,to	terrorism	hill,denies	link,to
20030323	AUS	IRQ	suicide,bomb,kills	newsman,reports		suicide,bomb,kills
20030323	KWT	USA	camp,in		patriots,down,missile,near	camp,in
20030323	KWT	USA	soldiers,injured,in	grenade,attack	six	soldiers,injured,in
20030323	GBR	IRQ	three,man	tv,crew,missing,in	tv,crew,missing,in	
20030323	IRQ	TUR	denies,move,into	kurds,agree		denies,move,into
20030323	IRN	USA	assures	of,tomahawk,investigation		assures
20030323	TUR	USA	scraps	deployment,bolsters,southern,front		scraps
20030324	AUS	IRQ		soldiers,disable	soldiers,disable	missiles
20030324	AUS	SGP				fta,a,model,for,future,bilateral
20030324	FJI	IRQ		hoping	hoping	war,is,swift,foreign,minister
20030324	IRQ	USA		tv,shows,what,it,says,is,downed	tv,shows,what,it,says,is,downed	helicopter
20030324	IRQ	USA		shows,footage,of	shows,footage,of	troops,held,prisoner
20030324	IRQ	JOR	calls,for,end,to	war		calls,for,end,to
20030324	IRQ	USA	accuses,russians,of,aiding	defence		accuses,russians,of,aiding
20030324	IRQ	USA	confirms,apache,helicopter,went,down,in			confirms,apache,helicopter,went,down,in
20030324	IRQ	USA	examines,possible	chemical,weapons,factory		examines,possible
20030324	AFG	USA	helicopter,crashes,in	six,dead		helicopter,crashes,in
20030324	IRQ	USA	led,attack,on	not,making,any,dent,at,all		led,attack,on
